,Start Date,End Date,Year,Month,States,Counties,city,city_ascii,zips,lng,lat,population,population_proper,density,incorporated,Affected,Species,Event Diagnosis,timezone
0,2017-06-07,2017-06-07,2017,Jun,NC,"Stokes, NC",Sandy Ridge,Sandy Ridge,27046,-80.1042,36.499,,,18.6,False,4.0,Eastern Pipistrelle (AKA Tricolored) Bat,White-nose Syndrome [suspect],America/New_York
1,2017-06-07,2017-06-07,2017,Jun,NC,"Stokes, NC",King,King,27021,-80.356,36.2767,7025.0,7025.0,464.0,True,4.0,Eastern Pipistrelle (AKA Tricolored) Bat,White-nose Syndrome [suspect],America/New_York
2,2017-06-07,2017-06-07,2017,Jun,NC,"Stokes, NC",Pine Hall,Pine Hall,27042,-80.0495,36.3246,,,53.0,False,4.0,Eastern Pipistrelle (AKA Tricolored) Bat,White-nose Syndrome [suspect],America/New_York
3,2017-06-07,2017-06-07,2017,Jun,NC,"Stokes, NC",Germanton,Germanton,27019,-80.236,36.2587,,,99.8,False,4.0,Eastern Pipistrelle (AKA Tricolored) Bat,White-nose Syndrome [suspect],America/New_York
4,2017-06-07,2017-06-07,2017,Jun,NC,"Stokes, NC",Pinnacle,Pinnacle,27043,-80.4241,36.323,,,158.0,False,4.0,Eastern Pipistrelle (AKA Tricolored) Bat,White-nose Syndrome [suspect],America/New_York
5,2017-06-07,2017-06-07,2017,Jun,NC,"Stokes, NC",Walnut Cove,Walnut Cove,27052,-80.1407,36.2943,1383.0,1383.0,221.0,True,4.0,Eastern Pipistrelle (AKA Tricolored) Bat,White-nose Syndrome [suspect],America/New_York
6,2017-06-07,2017-06-07,2017,Jun,NC,"Stokes, NC",Danbury,Danbury,27016,-80.2122,36.4113,186.0,186.0,89.0,True,4.0,Eastern Pipistrelle (AKA Tricolored) Bat,White-nose Syndrome [suspect],America/New_York
7,2017-05-14,2017-05-14,2017,May,MI,"Lake, MI",Chase,Chase,49623,-85.6356,43.8892,,,143.7,False,1.0,Little Brown Bat,White-nose Syndrome,America/Detroit
8,2017-05-14,2017-05-14,2017,May,MI,"Lake, MI",Baldwin,Baldwin,49304,-85.853,43.8971,1206.0,1206.0,368.0,True,1.0,Little Brown Bat,White-nose Syndrome,America/Detroit
9,2017-05-14,2017-05-14,2017,May,MI,"Lake, MI",Luther,Luther,49656,-85.6826,44.0388,316.0,316.0,132.0,True,1.0,Little Brown Bat,White-nose Syndrome,America/Detroit
10,2017-05-14,2017-05-14,2017,May,MI,"Lake, MI",Idlewild,Idlewild,49304,-85.8026,43.887,,,96.7,False,1.0,Little Brown Bat,White-nose Syndrome,America/Detroit
11,2017-04-27,2017-04-30,2017,Apr,WI,"Polk, WI",Wanderoos,Wanderoos,54001,-92.4944,45.3086,,,59.0,False,1.0,"Northern Long-Eared Bat, Eastern Pipistrelle (AKA Tricolored) Bat, Little Brown Bat",White-nose Syndrome [suspect],America/Chicago
12,2017-04-27,2017-04-30,2017,Apr,WI,"Polk, WI",Clayton,Clayton,54004,-92.171,45.326,547.0,547.0,66.0,True,1.0,"Northern Long-Eared Bat, Eastern Pipistrelle (AKA Tricolored) Bat, Little Brown Bat",White-nose Syndrome [suspect],America/Chicago
13,2017-04-27,2017-04-30,2017,Apr,WI,"Polk, WI",Milltown,Milltown,54858,-92.5012,45.5264,878.0,878.0,193.0,True,1.0,"Northern Long-Eared Bat, Eastern Pipistrelle (AKA Tricolored) Bat, Little Brown Bat",White-nose Syndrome [suspect],America/Chicago
14,2017-04-27,2017-04-30,2017,Apr,WI,"Polk, WI",Frederic,Frederic,54837,-92.4647,45.6547,1097.0,1097.0,250.0,True,1.0,"Northern Long-Eared Bat, Eastern Pipistrelle (AKA Tricolored) Bat, Little Brown Bat",White-nose Syndrome [suspect],America/Chicago
15,2017-04-27,2017-04-30,2017,Apr,WI,"Polk, WI",Centuria,Centuria,54824,-92.5578,45.4497,922.0,922.0,209.0,True,1.0,"Northern Long-Eared Bat, Eastern Pipistrelle (AKA Tricolored) Bat, Little Brown Bat",White-nose Syndrome [suspect],America/Chicago
16,2017-04-27,2017-04-30,2017,Apr,WI,"Polk, WI",Balsam Lake,Balsam Lake,54810,-92.4529,45.4584,980.0,980.0,174.0,True,1.0,"Northern Long-Eared Bat, Eastern Pipistrelle (AKA Tricolored) Bat, Little Brown Bat",White-nose Syndrome [suspect],America/Chicago
17,2017-04-27,2017-04-30,2017,Apr,WI,"Polk, WI",Dresser,Dresser,54024 54009,-92.6344,45.3617,859.0,859.0,172.0,True,1.0,"Northern Long-Eared Bat, Eastern Pipistrelle (AKA Tricolored) Bat, Little Brown Bat",White-nose Syndrome [suspect],America/Chicago
18,2017-04-27,2017-04-30,2017,Apr,WI,"Polk, WI",Joel,Joel,54001,-92.2346,45.3605,,,10.1,False,1.0,"Northern Long-Eared Bat, Eastern Pipistrelle (AKA Tricolored) Bat, Little Brown Bat",White-nose Syndrome [suspect],America/Chicago
19,2017-04-27,2017-04-30,2017,Apr,WI,"Polk, WI",Amery,Amery,54001,-92.3634,45.3046,2770.0,2839.0,358.0,True,1.0,"Northern Long-Eared Bat, Eastern Pipistrelle (AKA Tricolored) Bat, Little Brown Bat",White-nose Syndrome [suspect],America/Chicago
20,2017-04-27,2017-04-30,2017,Apr,WI,"Polk, WI",Clear Lake,Clear Lake,54005,-92.2693,45.2516,1035.0,1035.0,137.0,True,1.0,"Northern Long-Eared Bat, Eastern Pipistrelle (AKA Tricolored) Bat, Little Brown Bat",White-nose Syndrome [suspect],America/Chicago
21,2017-04-27,2017-04-30,2017,Apr,WI,"Polk, WI",Saint Croix Falls,Saint Croix Falls,54024,-92.6268,45.4101,2061.0,2061.0,161.0,True,1.0,"Northern Long-Eared Bat, Eastern Pipistrelle (AKA Tricolored) Bat, Little Brown Bat",White-nose Syndrome [suspect],America/Chicago
22,2017-04-27,2017-04-30,2017,Apr,WI,"Polk, WI",Luck,Luck,54853,-92.4667,45.5718,1073.0,1073.0,209.0,True,1.0,"Northern Long-Eared Bat, Eastern Pipistrelle (AKA Tricolored) Bat, Little Brown Bat",White-nose Syndrome [suspect],America/Chicago
23,2017-04-27,2017-04-30,2017,Apr,WI,"Polk, WI",Lewis,Lewis,54837,-92.3965,45.7159,,,57.0,False,1.0,"Northern Long-Eared Bat, Eastern Pipistrelle (AKA Tricolored) Bat, Little Brown Bat",White-nose Syndrome [suspect],America/Chicago
24,2017-04-27,2017-04-30,2017,Apr,WI,"Polk, WI",Cushing,Cushing,54006,-92.651,45.5705,,,88.4,False,1.0,"Northern Long-Eared Bat, Eastern Pipistrelle (AKA Tricolored) Bat, Little Brown Bat",White-nose Syndrome [suspect],America/Chicago
25,2017-04-27,2017-04-30,2017,Apr,WI,"Polk, WI",Range,Range,54001,-92.2846,45.3955,,,50.7,False,1.0,"Northern Long-Eared Bat, Eastern Pipistrelle (AKA Tricolored) Bat, Little Brown Bat",White-nose Syndrome [suspect],America/Chicago
26,2017-04-27,2017-04-30,2017,Apr,WI,"Polk, WI",Osceola,Osceola,54020,-92.6936,45.3193,3522.0,2517.0,237.0,True,1.0,"Northern Long-Eared Bat, Eastern Pipistrelle (AKA Tricolored) Bat, Little Brown Bat",White-nose Syndrome [suspect],America/Chicago
27,2017-04-15,2017-04-17,2017,Apr,WA,"King, WA",Pleasant Hill,Pleasant Hill,98014,-121.9096,47.6154,,,25.8,False,1.0,Yuma Bat,White-nose Syndrome,America/Los_Angeles
28,2017-04-15,2017-04-17,2017,Apr,WA,"King, WA",Wabash,Wabash,98022,-122.0576,47.2429,,,56.2,False,1.0,Yuma Bat,White-nose Syndrome,America/Los_Angeles
29,2017-04-15,2017-04-17,2017,Apr,WA,"King, WA",Renton,Renton,98059 98058 98057 98056 98055,-122.1904,47.4757,100953.0,100953.0,1663.0,True,1.0,Yuma Bat,White-nose Syndrome,America/Los_Angeles
30,2017-04-15,2017-04-17,2017,Apr,WA,"King, WA",Kennydale,Kennydale,98056,-122.2068,47.5207,,,2263.7,False,1.0,Yuma Bat,White-nose Syndrome,America/Los_Angeles
31,2017-04-15,2017-04-17,2017,Apr,WA,"King, WA",Mercer Island,Mercer Island,98040,-122.2265,47.5624,25134.0,25134.0,1535.0,True,1.0,Yuma Bat,White-nose Syndrome,America/Los_Angeles
32,2017-04-15,2017-04-17,2017,Apr,WA,"King, WA",Bryn Mawr,Bryn Mawr,98178,-122.2329,47.5034,,,2502.5,False,1.0,Yuma Bat,White-nose Syndrome,America/Los_Angeles
